Title,Location,Price,Area
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²
Apartment Van Bossestraat 82 1,            1051 KB Amsterdam (Staatsliedenbuurt)        ,"                €1,775 per month            ",80 m²
Apartment Omval 188,            1096 HZ Amsterdam (Omval/Overamstel)        ,"                €2,099 per month            ",119 m²
Apartment Balboastraat 31 2,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €1,575 per month            ",55 m²
House Molukkenstraat 557,            1095 BJ Amsterdam (Indische Buurt Oost)        ,"                €1,600 per month            ",46 m²
Apartment Schokkerspad,            1081 KR Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",95 m²
Apartment Jacob van Wassenaar Obdamstraat 18 I,            1057 JR Amsterdam (Chassébuurt)        ,"                €1,850 per month            ",70 m²
Apartment Borneostraat 21 1,            1094 CG Amsterdam (Indische Buurt West)        ,"                €1,650 per month            ",48 m²
Apartment Bartholomeus Diazstraat,            1057 TC Amsterdam (Hoofdweg e.o.)        ,"                €1,550 per month            ",50 m²
Apartment IJdoornlaan,            1034 BM Amsterdam (Banne Buiksloot)        ,"                €1,600 per month            ",53 m²
Apartment Valkenburgerstraat 222,            1011 ND Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,000 per month            ",60 m²
Apartment Balthasar Floriszstraat 55 B,            1071 VB Amsterdam (Museumkwartier)        ,"                €1,600 per month            ",53 m²
Apartment Holendrechtstraat 26 3,            1078 TT Amsterdam (IJselbuurt)        ,"                €1,900 per month            ",70 m²
Apartment Admiralengracht 166 II,            1057 GH Amsterdam (Chassébuurt)        ,"                €1,650 per month            ",55 m²
Apartment Groen van Prinstererstraat 33 1,            1051 EH Amsterdam (Staatsliedenbuurt)        ,"                €1,600 per month            ",45 m²
Apartment Westerdok 180,            1013 BH Amsterdam (Haarlemmerbuurt)        ,"                €2,325 per month            ",148 m²
Apartment Jan van Zutphenstraat,            1069 RS Amsterdam (Osdorp-Midden)        ,"                €2,000 per month            ",66 m²
Apartment Cornelis Anthoniszstraat,            1071 VT Amsterdam (Museumkwartier)        ,"                €2,495 per month            ",115 m²
Apartment Houthavenkade,            1014 ZB Amsterdam (Houthavens)        ,"                €1,875 per month            ",50 m²
Apartment Esplanade de Meer,            1098 WJ Amsterdam (Middenmeer)        ,"                €1,750 per month            ",87 m²
Apartment Sassenheimstraat,            1059 BJ Amsterdam (Hoofddorppleinbuurt)        ,"                €1,750 per month            ",64 m²
Apartment Amstelveenseweg,            1081 JD Amsterdam (Zuidas)        ,"                €1,900 per month            ",80 m²
Apartment Van Bossestraat,            1051 JR Amsterdam (Staatsliedenbuurt)        ,"                €1,800 per month            ",53 m²
Apartment Assumburg,            1081 GB Amsterdam (Buitenveldert-West)        ,"                €1,600 per month            ",71 m²
Apartment Hoofdweg 40 2,            1058 BD Amsterdam (Westindische Buurt)        ,"                €1,850 per month            ",70 m²
Apartment Johannes Verhulststraat 117 II,            1071 MZ Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",179 m²
Apartment Sausalitolaan,            1031 KE Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,850 per month            ",67 m²
Apartment Dick Greinerstraat,            1019 CT Amsterdam (Oostelijk Havengebied)        ,"                €1,600 per month            ",50 m²
Apartment Leidsekruisstraat 17 2,            1017 RE Amsterdam (De Weteringschans)        ,"                €1,600 per month            ",45 m²
Apartment Kromme-Mijdrechtstraat,            1079 LB Amsterdam (Rijnbuurt)        ,"                €1,695 per month            ",48 m²
Apartment Pieter Calandlaan,            1068 NE Amsterdam (Osdorp-Oost)        ,"                €1,700 per month            ",81 m²
